epoch,tr_loss,tr_f1,val_loss,val_acc,val_f1,val_auc
1,2.081106,0.314231,1.853657,0.601412,0.35211,0.820947
2,1.918878,0.334588,1.736819,0.605466,0.356157,0.822862
3,1.918671,0.332015,1.63238,0.612298,0.367656,0.826962
4,1.761456,0.354404,1.519427,0.632234,0.39478,0.83788
5,1.655171,0.411263,1.419674,0.672101,0.44939,0.859532
6,1.4795,0.490884,1.305166,0.735377,0.53521,0.893272
7,1.384031,0.565699,1.187814,0.797821,0.620917,0.927185
8,1.258106,0.613489,1.079741,0.837955,0.676447,0.949683
9,1.118245,0.64581,0.962066,0.857031,0.701739,0.95996
10,0.96948,0.649522,0.863785,0.864827,0.71372,0.964192
11,0.875866,0.659835,0.754556,0.870566,0.721458,0.967442
12,0.853679,0.630503,0.746764,0.870403,0.721568,0.96728
13,0.852359,0.649915,0.747187,0.870986,0.722308,0.967446
14,0.843549,0.649645,0.7391,0.872358,0.723775,0.967959
15,0.839607,0.63513,0.740667,0.872374,0.724689,0.968368
16,0.816274,0.660687,0.732343,0.873587,0.726411,0.969248
17,0.830491,0.620716,0.731312,0.875537,0.730485,0.970471
18,0.810056,0.671199,0.715341,0.876974,0.734913,0.972169
19,0.828611,0.688009,0.70701,0.879337,0.739255,0.974638
20,0.798984,0.683355,0.691092,0.883024,0.746817,0.978067
21,0.702232,0.696995,0.678179,0.886991,0.754631,0.981552
22,0.688264,0.694129,0.642148,0.892232,0.765098,0.985016
23,0.673586,0.699413,0.631491,0.898553,0.777949,0.987776
24,0.626641,0.723698,0.599251,0.906509,0.793977,0.990597
25,0.590265,0.745135,0.552333,0.914895,0.812997,0.992516
26,0.538584,0.760502,0.508138,0.922013,0.829817,0.99398
27,0.505692,0.743638,0.484528,0.932509,0.846712,0.99469
28,0.473443,0.766962,0.440786,0.940332,0.865365,0.995413
29,0.435327,0.79525,0.405294,0.947336,0.880523,0.995156
30,0.400733,0.807534,0.377381,0.954219,0.893726,0.995563
31,0.357427,0.858786,0.354479,0.958548,0.904536,0.996048
32,0.371558,0.885315,0.341807,0.963465,0.913099,0.995818
33,0.342995,0.888502,0.321435,0.967091,0.920255,0.996033
34,0.321121,0.879795,0.310915,0.968971,0.924255,0.996099
35,0.326933,0.904235,0.304266,0.970007,0.928649,0.996122
36,0.306062,0.888582,0.297452,0.972381,0.932159,0.996199
37,0.309518,0.888592,0.287409,0.973251,0.935128,0.995817
38,0.294949,0.898787,0.289599,0.974669,0.936409,0.995907
39,0.302338,0.911993,0.281237,0.974987,0.938632,0.996081
40,0.312632,0.907342,0.28763,0.975812,0.938918,0.996164
41,0.30255,0.898358,0.275904,0.976139,0.938808,0.996014
42,0.291465,0.906517,0.278317,0.976425,0.940802,0.996102
43,0.294968,0.892215,0.279748,0.976429,0.941271,0.996184
44,0.270763,0.925845,0.269339,0.975966,0.940805,0.996411
45,0.292625,0.89705,0.272755,0.976401,0.939315,0.996419
46,0.28695,0.904115,0.274011,0.977395,0.940728,0.996578
47,0.289565,0.894288,0.274225,0.976222,0.940646,0.996572
48,0.288112,0.926033,0.274789,0.976798,0.941953,0.997023
49,0.30294,0.909746,0.273843,0.976677,0.943027,0.996682
50,0.284389,0.898976,0.274439,0.977232,0.943183,0.996858
51,0.288757,0.899361,0.268337,0.976803,0.942539,0.997009
52,0.291748,0.896019,0.264208,0.977993,0.944864,0.997362
53,0.258533,0.90361,0.255819,0.977736,0.945298,0.99768
54,0.275228,0.910972,0.254463,0.978105,0.947365,0.997525
55,0.261492,0.930487,0.250657,0.978503,0.947859,0.997708
56,0.254465,0.925189,0.240227,0.979476,0.950043,0.998042
57,0.243097,0.923171,0.234565,0.979623,0.951883,0.997958
58,0.235637,0.931281,0.230721,0.981106,0.954056,0.998163
59,0.209946,0.93577,0.203995,0.981334,0.957957,0.997957
60,0.204136,0.930115,0.199153,0.982424,0.960139,0.998602
61,0.19451,0.959201,0.191147,0.983916,0.962522,0.998602
62,0.191405,0.950744,0.188668,0.984914,0.963834,0.998971
63,0.170527,0.968799,0.161884,0.985303,0.967061,0.998965
64,0.154836,0.965966,0.155564,0.985838,0.970147,0.998897
65,0.148553,0.960728,0.150006,0.986836,0.972902,0.999154
66,0.143502,0.96341,0.142775,0.987835,0.973116,0.999231
67,0.129847,0.965491,0.1236,0.988163,0.976934,0.999292
68,0.117219,0.975621,0.122447,0.988833,0.976895,0.999368
69,0.126251,0.971873,0.119957,0.989523,0.978099,0.99947
70,0.111063,0.96716,0.110328,0.988663,0.980965,0.999503
71,0.114076,0.970402,0.108215,0.98971,0.980506,0.999504
72,0.120698,0.981662,0.118316,0.989963,0.981958,0.999614
73,0.119969,0.979647,0.107112,0.989887,0.983044,0.999576
74,0.111589,0.97718,0.107613,0.990459,0.983175,0.99962
75,0.103707,0.977845,0.103139,0.99004,0.982166,0.999621
76,0.114038,0.975283,0.105917,0.990305,0.982847,0.999549
77,0.095788,0.969684,0.098391,0.990395,0.983045,0.999523
78,0.110508,0.980605,0.10235,0.991346,0.984017,0.999639
79,0.117375,0.978989,0.11326,0.990186,0.984109,0.99958
80,0.098087,0.979791,0.098132,0.99062,0.984838,0.99984
81,0.116523,0.967531,0.119691,0.986205,0.973741,0.997856
82,0.108494,0.971916,0.107028,0.986284,0.974577,0.999804
83,0.11651,0.962335,0.115686,0.986637,0.975871,0.999777
84,0.096002,0.977966,0.09838,0.989488,0.980392,0.999835
85,0.097912,0.975165,0.098263,0.989821,0.981631,0.999515
86,0.103974,0.975822,0.098633,0.99203,0.983933,0.999646
87,0.081497,0.981136,0.086008,0.991191,0.986222,0.999722
88,0.098115,0.97335,0.096174,0.991575,0.985534,0.999569
89,0.087978,0.971251,0.090752,0.992014,0.984854,0.999918
90,0.089391,0.984717,0.090032,0.991892,0.986451,0.999761
91,0.093678,0.984444,0.09493,0.991709,0.985264,0.999674
92,0.103355,0.972908,0.098977,0.991353,0.98478,1.0
93,0.112036,0.981795,0.096251,0.991874,0.986967,0.999589
94,0.0838,0.974745,0.094095,0.992335,0.983943,0.999866
95,0.084839,0.976699,0.088697,0.991587,0.986109,0.999924
96,0.089756,0.979359,0.090888,0.991331,0.985317,1.0
97,0.092633,0.973231,0.093896,0.991392,0.9865,0.999656
98,0.088849,0.982929,0.093863,0.991679,0.98471,0.999612
99,0.093798,0.974872,0.090565,0.991872,0.985265,0.99955
100,0.094614,0.982198,0.096015,0.99171,0.985764,0.999846
